Size,Chest,Shoulder,Front_Length,Sleeve_length
XS,17.0,15.1,25.9,6.5
XS,16.7,14.7,25.7,6.6
XS,16.7,14.6,25.9,6.6
XS,17.0,14.9,25.9,6.6
XS,16.7,14.9,25.7,6.8
XS,17.0,14.7,25.4,6.5
XS,16.8,14.7,25.3,6.7
XS,16.5,14.9,25.8,6.5
XS,17.0,15.0,25.8,6.7
XS,16.5,14.6,25.7,6.3
XS,16.8,14.6,25.9,6.7
XS,17.0,14.8,26.0,6.5
XS,17.0,14.5,25.3,6.6
XS,16.8,14.8,26.2,6.7
XS,16.9,14.7,25.8,6.6
XS,16.9,15.0,25.8,6.6
XS,17.2,14.8,25.6,6.5
XS,17.3,15.1,25.9,6.7
XS,16.8,14.8,25.6,6.7
XS,17.1,14.7,25.6,6.7
XS,16.8,14.6,25.6,6.6
XS,16.9,14.8,25.9,6.7
XS,16.6,14.5,25.9,6.5
XS,16.9,14.5,25.6,6.6
XS,16.7,15.0,25.8,6.8
XS,16.7,14.5,25.9,6.5
XS,16.9,14.7,25.5,6.6
XS,17.0,15.0,26.0,6.6
XS,16.7,15.1,25.9,6.7
XS,17.0,14.9,25.6,6.7
XS,16.6,15.1,25.8,6.6
XS,17.0,14.8,25.9,6.6
XS,16.9,14.7,25.6,6.7
XS,16.9,15.0,25.5,6.6
XS,16.7,14.6,25.7,6.8
XS,17.3,14.7,25.8,6.8
XS,16.8,15.0,25.8,6.7
XS,17.3,14.6,25.6,6.4
XS,16.8,14.6,26.2,6.6
XS,16.8,14.7,25.9,6.9
XS,17.1,15.0,25.7,6.6
XS,17.2,14.9,25.6,6.6
XS,16.6,15.1,25.8,6.6
XS,16.7,14.6,25.7,6.6
XS,16.3,14.7,26.0,6.6
XS,16.6,14.5,25.6,6.6
XS,16.6,15.0,26.0,6.6
XS,16.4,14.6,25.9,6.8
XS,17.1,14.9,25.7,6.6
XS,16.6,14.6,25.4,6.6
XS,16.8,14.5,25.6,6.6
XS,16.7,14.7,25.7,6.8
XS,16.6,14.9,25.6,6.6
XS,16.4,14.5,25.9,6.6
XS,16.7,14.8,25.8,6.5
XS,16.6,14.7,26.0,6.6
XS,16.6,15.1,25.9,6.5
XS,17.1,14.5,25.6,6.8
XS,16.7,14.6,25.9,6.8
XS,16.9,14.5,26.0,6.8
XS,16.8,14.5,25.9,6.7
XS,16.6,14.9,25.8,6.7
XS,17.0,14.6,25.3,6.7
XS,17.0,14.7,25.6,6.6
XS,16.8,14.6,25.9,6.7
XS,17.2,14.8,25.4,6.7
XS,16.6,15.0,25.8,6.7
XS,16.4,15.1,26.1,6.7
XS,17.2,15.1,25.8,6.8
XS,16.4,14.9,25.4,6.7
XS,16.5,14.8,25.8,6.7
XS,16.5,15.0,25.7,6.7
XS,16.7,14.7,25.9,6.7
XS,16.8,14.9,25.7,6.7
XS,17.0,15.0,25.8,6.6
XS,16.9,14.8,25.4,6.8
XS,16.6,14.7,26.2,6.7
XS,17.0,14.6,25.4,6.7
XS,17.1,14.5,25.7,6.6
XS,16.6,14.5,25.7,6.7
XS,16.5,14.5,26.1,6.6
XS,16.8,14.9,25.6,6.7
XS,17.0,14.6,25.4,6.8
XS,16.6,14.7,25.7,6.4
XS,16.8,14.9,25.8,6.6
XS,17.3,14.9,25.7,6.7
XS,16.7,14.7,25.6,6.6
XS,16.8,14.5,25.4,6.6
XS,16.9,14.5,25.5,6.7
XS,17.4,14.5,25.8,6.6
XS,17.1,14.4,25.9,6.6
XS,16.2,15.0,25.9,6.6
XS,16.7,14.7,25.6,6.4
XS,17.1,14.7,25.4,6.6
XS,16.6,14.4,25.8,6.8
XS,17.0,14.7,25.7,6.7
XS,17.2,14.9,25.7,6.6
XS,16.7,14.9,25.6,6.7
XS,16.7,14.5,25.9,6.7
XS,16.9,14.9,25.7,6.6
XS,16.7,14.9,25.8,6.7
XS,17.4,14.7,26.0,6.7
XS,16.5,14.4,25.8,6.6
XS,17.3,14.8,26.1,6.6
XS,17.3,14.5,25.5,6.7
XS,16.8,14.8,25.9,6.6
XS,16.8,14.6,25.4,6.6
XS,16.4,14.8,25.5,6.7
XS,17.0,14.3,25.6,6.8
XS,16.7,14.6,25.7,6.9
XS,16.7,14.6,25.6,6.7
XS,16.4,14.5,25.6,6.7
XS,16.9,14.8,25.6,6.5
XS,17.1,14.7,25.4,6.5
XS,16.8,14.4,25.6,6.9
XS,17.0,14.8,25.8,6.4
XS,16.9,14.8,25.7,6.8
XS,17.0,14.6,25.7,6.7
XS,17.1,14.6,25.8,6.6
XS,16.9,14.7,25.4,6.7
XS,17.0,14.5,25.5,6.7
XS,17.0,15.1,25.7,6.8
XS,17.1,14.8,25.6,6.9
XS,16.7,14.6,25.7,6.6
XS,16.9,14.6,26.0,6.6
XS,16.7,14.8,25.7,6.6
XS,16.6,14.7,25.8,6.7
XS,16.6,14.7,25.5,6.7
XS,17.3,14.7,25.8,6.6
XS,16.7,14.8,26.0,6.5
XS,16.5,14.9,25.5,6.6
XS,17.3,14.5,26.1,6.5
XS,16.8,14.6,25.5,6.7
S,18.0,15.5,26.7,7.5
S,18.1,15.6,26.8,7.2
S,17.9,15.5,26.5,7.4
S,18.0,15.6,26.8,7.3
S,18.2,15.6,26.5,7.3
S,18.2,16.0,26.7,7.3
S,18.1,16.0,27.2,7.3
S,17.9,16.0,26.4,7.3
S,18.2,15.7,26.8,7.1
S,18.1,15.8,26.9,7.4
S,18.0,15.8,26.8,7.4
S,18.2,15.8,26.6,7.2
S,17.9,15.8,26.8,7.5
S,17.8,15.7,26.8,7.0
S,17.8,15.7,26.5,7.2
S,18.3,15.8,26.8,7.3
S,18.0,15.9,27.0,7.4
S,18.0,15.8,26.6,7.3
S,17.9,15.4,26.8,7.3
S,18.2,15.5,26.5,7.3
S,17.7,15.8,26.7,7.2
S,18.1,15.7,26.8,7.2
S,18.1,15.9,26.8,7.2
S,18.1,15.3,26.9,7.2
S,18.1,15.7,26.8,7.2
S,18.1,15.5,26.9,7.3
S,17.9,15.6,26.8,7.2
S,18.2,15.8,26.4,7.2
S,18.1,15.5,26.4,7.2
S,17.9,15.6,27.0,7.3
S,18.1,15.8,26.3,7.3
S,18.0,15.8,26.8,7.3
S,17.8,15.7,26.7,7.2
S,17.9,15.4,26.9,7.3
S,17.9,15.8,27.0,7.2
S,18.1,15.7,26.6,7.3
S,17.7,15.6,26.6,7.2
S,18.1,15.5,27.0,7.2
S,18.0,16.0,27.0,7.3
S,17.9,15.8,26.6,7.4
S,18.3,15.8,26.7,7.4
S,17.9,15.6,26.7,7.3
S,18.0,16.0,26.6,7.2
S,17.9,15.9,27.2,7.3
S,17.9,15.7,27.1,7.2
S,18.2,15.5,26.9,7.2
S,18.1,15.5,26.8,7.3
S,18.0,15.7,26.9,7.2
S,18.0,15.6,27.2,7.2
S,17.9,15.7,26.7,7.4
S,18.1,16.0,26.4,7.4
S,17.9,15.6,26.6,7.4
S,18.0,15.6,26.8,7.3
S,17.8,15.7,27.0,7.3
S,18.1,15.6,27.0,7.4
S,17.9,15.7,26.8,7.2
S,18.1,15.6,26.8,7.3
S,18.0,15.7,26.7,7.2
S,18.2,15.9,26.7,7.4
S,18.4,15.8,27.2,7.2
S,18.0,15.8,26.5,7.4
S,17.9,15.7,26.8,7.4
S,17.8,16.0,26.5,7.3
S,18.0,16.0,26.6,7.3
S,18.0,15.9,27.0,7.3
S,18.2,15.6,27.0,7.4
S,18.1,15.8,26.8,7.3
S,18.1,15.4,26.9,7.1
S,17.9,15.6,26.9,7.4
S,17.9,15.6,26.7,7.3
S,18.1,15.5,26.8,7.3
S,18.0,15.7,26.6,7.3
S,18.0,15.9,27.1,7.3
S,18.1,15.6,26.9,7.3
S,17.7,15.7,26.6,7.3
S,18.1,15.5,26.8,7.2
S,18.1,15.8,26.9,7.3
S,18.0,15.8,26.8,7.1
S,18.2,15.7,26.5,7.3
S,17.8,15.8,26.9,7.1
S,18.0,15.8,27.0,7.2
S,17.5,15.7,26.9,7.4
S,18.0,15.6,26.8,7.2
S,17.9,15.3,26.9,7.4
S,18.2,15.7,26.7,7.3
